Model,Algo,Hardware,Sampling,Latency (h),GPU Energy (kWh),Total Energy (kWh),Accuracy
Falcon3 1B,best of n,A100,4,0.608427139,0.516,1.1609,28.26666667
Falcon3 1B,best of n,A100,16,1.396430444,1.0919,2.4569,33.4
Falcon3 1B,best of n,A100,64,7.198819278,6.7984,15.2964,36
Falcon3 1B,best of n,A100,256,,,,
Falcon3 1B,dvts,A100,4,4.512517539,3.9157,8.8104,29.73333333
Falcon3 1B,dvts,A100,16,15.31726856,10.2168,22.9879,37.85
Falcon3 1B,dvts,A100,64,56.29054842,39.1874,22.9879,43
Falcon3 1B,dvts,A100,256,,,,
Falcon3 1B,beam search,A100,4,9.841853889,9.012,20.2774,33.5
Falcon3 1B,beam search,A100,16,33.80684889,17.2364,38.7812,45
Falcon3 1B,beam search,A100,64,,,,
Falcon3 1B,beam search,A100,256,,,,
