Model,Algo,Hardware,Sampling,Latency (h),GPU Energy (kWh),Total Energy (kWh),Accuracy
Falcon3 1B,best of n,H200,4,0.370254836,0.143699615,0.258659307,27.73333333
Falcon3 1B,best of n,H200,16,0.990588677,0.430854088,0.775537359,33.13333333
Falcon3 1B,best of n,H200,64,3.770778045,1.648014751,2.966426551,35.8
Falcon3 1B,best of n,H200,256,14.566807,6.433915489,11.58104788,35.95
Falcon3 1B,dvts,H200,4,0.218270494,0.087344292,0.157219726,30.6
Falcon3 1B,dvts,H200,16,0.65390602,0.311660816,0.560989469,38
Falcon3 1B,dvts,H200,64,2.248902104,1.146053134,2.062895641,43.25
Falcon3 1B,dvts,H200,256,8.662111787,4.48329661,8.069933898,45.5
Falcon3 1B,beam search,H200,4,5.452611106,2.115796227,3.808433209,35.53333333
Falcon3 1B,beam search,H200,16,16.46687202,7.83161664,14.09690995,44.05
Falcon3 1B,beam search,H200,64,65.8617722,34.8279563,62.69032134,50.13333333
Falcon3 1B,beam search,H200,256,,,,
