Model,Algo,Hardware,Sampling,Latency (h),GPU Energy (kWh),Total Energy (kWh),Accuracy
LLama 3.14,best of n,A100,4,0.610142639,0.3494,0.7862,38.6
LLama 3.15,best of n,A100,16,1.806215194,1.0262,2.309,44.55
LLama 3.16,best of n,A100,64,6.859444028,3.2507,7.314,47.33333333
LLama 3.17,best of n,A100,256,26.45215144,17.5906,39.5789,49.33333333
LLama 3.18,dvts,A100,4,3.309875083,2.083,4.687,39.7
LLama 3.19,dvts,A100,16,8.915517778,5.109,11.4957,49.4
LLama 3.20,dvts,A100,64,32.28827222,17.801,40.053,52.26666667
LLama 3.21,dvts,A100,256,146.9113,61.9475,139.384,55.2
LLama 3.22,beam search,A100,4,8.065239222,6.2981,14.1708,43.4
LLama 3.23,beam search,A100,16,30.30265189,19.2239,43.2538,51.06666667
LLama 3.24,beam search,A100,64,155.5472396,28.2496,63.56186667,50
LLama 3.25,beam search,A100,256,,,,56.9
