Model,Algo,Hardware,Sampling,Latency (h),GPU Energy (kWh),Total Energy (kWh),Accuracy
LLama 3.2 1B,best of n,H200,4,0.000473295,9.91512E-05,0.000178472,36.65
LLama 3.2 1B,best of n,H200,16,0.000822249,0.000231903,0.000417426,42.75
LLama 3.2 1B,best of n,H200,64,0.002093737,0.000778512,0.001401321,45.93333333
LLama 3.2 1B,best of n,H200,256,0.007085655,0.002947594,0.005305669,47.33333333
LLama 3.2 1B,dvts,H200,4,0.001272899,0.000433796,0.000780832,36.73333333
LLama 3.2 1B,dvts,H200,16,0.003637799,0.001445773,0.002602391,46.65
LLama 3.2 1B,dvts,H200,64,0.012117289,0.005127077,0.009228738,50.35
LLama 3.2 1B,dvts,H200,256,0.045607768,0.019702102,0.035463783,51.8
LLama 3.2 1B,beam search,H200,4,0.002578023,0.0008588,0.0019323,45.4
LLama 3.2 1B,beam search,H200,16,0.00729969,0.0029273,0.0065865,50.6
LLama 3.2 1B,beam search,H200,64,0.036477812,0.0159895,0.0359765,54.85
LLama 3.2 1B,beam search,H200,256,0.160325886,0.07343595,0.16523085,56.9
LLama 3.2 1B,best of n,A100,4,0.000305071,0.0001747,0.0003931,38.6
LLama 3.2 1B,best of n,A100,16,0.000903108,0.0005131,0.0011545,44.55
LLama 3.2 1B,best of n,A100,64,0.003429722,0.00162535,0.003657,47.33333333
LLama 3.2 1B,best of n,A100,256,0.013226076,0.0087953,0.01978945,49.33333333
LLama 3.2 1B,dvts,A100,4,0.001654938,0.0010415,0.0023435,39.7
LLama 3.2 1B,dvts,A100,16,0.004457759,0.0025545,0.00574785,49.4
LLama 3.2 1B,dvts,A100,64,0.016144136,0.0089005,0.0200265,52.26666667
LLama 3.2 1B,dvts,A100,256,0.07345565,0.03097375,0.069692,55.2
LLama 3.2 1B,beam search,A100,4,0.00403262,0.00314905,0.0070854,43.4
LLama 3.2 1B,beam search,A100,16,0.015151326,0.00961195,0.0216269,51.06666667
LLama 3.2 1B,beam search,A100,64,0.07777362,0.0141248,0.031780933,50
LLama 3.2 1B,beam search,A100,256,,,,56.9
Falcon3 1B,best of n,H200,4,0.000185127,7.18498E-05,0.00012933,27.73333333
Falcon3 1B,best of n,H200,16,0.000495294,0.000215427,0.000387769,33.13333333
Falcon3 1B,best of n,H200,64,0.001885389,0.000824007,0.001483213,35.8
Falcon3 1B,best of n,H200,256,0.007283404,0.003216958,0.005790524,35.95
Falcon3 1B,dvts,H200,4,0.000109135,4.36721E-05,7.86099E-05,30.6
Falcon3 1B,dvts,H200,16,0.000326953,0.00015583,0.000280495,38
Falcon3 1B,dvts,H200,64,0.001124451,0.000573027,0.001031448,43.25
Falcon3 1B,dvts,H200,256,0.004331056,0.002241648,0.004034967,45.5
Falcon3 1B,beam search,H200,4,0.002726306,0.001057898,0.001904217,35.53333333
Falcon3 1B,beam search,H200,16,0.008233436,0.003915808,0.007048455,44.05
Falcon3 1B,beam search,H200,64,0.032930886,0.017413978,0.031345161,50.13333333
Falcon3 1B,beam search,H200,256,,,,
Falcon3 1B,best of n,A100,4,0.000304214,0.000258,0.00058045,28.26666667
Falcon3 1B,best of n,A100,16,0.000698215,0.00054595,0.00122845,33.4
Falcon3 1B,best of n,A100,64,0.00359941,0.0033992,0.0076482,36
Falcon3 1B,best of n,A100,256,,,,
Falcon3 1B,dvts,A100,4,0.002256259,0.00195785,0.0044052,29.73333333
Falcon3 1B,dvts,A100,16,0.007658634,0.0051084,0.01149395,37.85
Falcon3 1B,dvts,A100,64,0.028145274,0.0195937,0.01149395,43
Falcon3 1B,dvts,A100,256,,,,
Falcon3 1B,beam search,A100,4,0.004920927,0.004506,0.0101387,33.5
Falcon3 1B,beam search,A100,16,0.016903424,0.0086182,0.0193906,45
Falcon3 1B,beam search,A100,64,,,,
Falcon3 1B,beam search,A100,256,,,,
