Model,Algo,Hardware,Sampling,Latency (h),GPU Energy (kWh),Total Energy (kWh),Accuracy
LLama 3.2,best of n,H200,4,0.946589202,0.198302415,0.356944347,36.65
LLama 3.2,best of n,H200,16,1.644498008,0.463806744,0.83485214,42.75
LLama 3.2,best of n,H200,64,4.187474257,1.55702343,2.802642173,45.93333333
LLama 3.2,best of n,H200,256,14.17130996,5.895187812,10.61133806,47.33333333
LLama 3.2,dvts,H200,4,2.545797885,0.867591394,1.561664508,36.73333333
LLama 3.2,dvts,H200,16,7.275598203,2.891545458,5.204781825,46.65
LLama 3.2,dvts,H200,64,24.23457881,10.2541538,18.45747683,50.35
LLama 3.2,dvts,H200,256,91.21553567,39.40420379,70.92756683,51.8
LLama 3.2,beam search,H200,4,5.156046833,1.7176,3.8646,45.4
LLama 3.2,beam search,H200,16,14.59938057,5.8546,13.173,50.6
LLama 3.2,beam search,H200,64,72.95562408,31.979,71.953,54.85
LLama 3.2,beam search,H200,256,320.6517726,146.8719,330.4617,56.9
LLama 3.2,best of n,A100,4,0.610142639,0.3494,0.7862,38.6
LLama 3.2,best of n,A100,16,1.806215194,1.0262,2.309,44.55
LLama 3.2,best of n,A100,64,6.859444028,3.2507,7.314,47.33333333
LLama 3.2,best of n,A100,256,26.45215144,17.5906,39.5789,49.33333333
LLama 3.2,dvts,A100,4,3.309875083,2.083,4.687,39.7
LLama 3.2,dvts,A100,16,8.915517778,5.109,11.4957,49.4
LLama 3.2,dvts,A100,64,32.28827222,17.801,40.053,52.26666667
LLama 3.2,dvts,A100,256,146.9113,61.9475,139.384,55.2
LLama 3.2,beam search,A100,4,8.065239222,6.2981,14.1708,43.4
LLama 3.2,beam search,A100,16,30.30265189,19.2239,43.2538,51.06666667
LLama 3.2,beam search,A100,64,155.5472396,28.2496,63.56186667,50
LLama 3.2,beam search,A100,256,,,,56.9
Falcon3 1B,best of n,H200,4,0.370254836,0.143699615,0.258659307,27.73333333
Falcon3 1B,best of n,H200,16,0.990588677,0.430854088,0.775537359,33.13333333
Falcon3 1B,best of n,H200,64,3.770778045,1.648014751,2.966426551,35.8
Falcon3 1B,best of n,H200,256,14.566807,6.433915489,11.58104788,35.95
Falcon3 1B,dvts,H200,4,0.218270494,0.087344292,0.157219726,30.6
Falcon3 1B,dvts,H200,16,0.65390602,0.311660816,0.560989469,38
Falcon3 1B,dvts,H200,64,2.248902104,1.146053134,2.062895641,43.25
Falcon3 1B,dvts,H200,256,8.662111787,4.48329661,8.069933898,45.5
Falcon3 1B,beam search,H200,4,5.452611106,2.115796227,3.808433209,35.53333333
Falcon3 1B,beam search,H200,16,16.46687202,7.83161664,14.09690995,44.05
Falcon3 1B,beam search,H200,64,65.8617722,34.8279563,62.69032134,50.13333333
Falcon3 1B,beam search,H200,256,,,,
Falcon3 1B,best of n,A100,4,0.608427139,0.516,1.1609,28.26666667
Falcon3 1B,best of n,A100,16,1.396430444,1.0919,2.4569,33.4
Falcon3 1B,best of n,A100,64,7.198819278,6.7984,15.2964,36
Falcon3 1B,best of n,A100,256,,,,
Falcon3 1B,dvts,A100,4,4.512517539,3.9157,8.8104,29.73333333
Falcon3 1B,dvts,A100,16,15.31726856,10.2168,22.9879,37.85
Falcon3 1B,dvts,A100,64,56.29054842,39.1874,22.9879,43
Falcon3 1B,dvts,A100,256,,,,
Falcon3 1B,beam search,A100,4,9.841853889,9.012,20.2774,33.5
Falcon3 1B,beam search,A100,16,33.80684889,17.2364,38.7812,45
Falcon3 1B,beam search,A100,64,,,,
Falcon3 1B,beam search,A100,256,,,,
